"Sr.No","Round ▲▼","Institute ▲▼","PG Program ▲▼","Group ▲▼","Category ▲▼","Max GATE Score ▲▼","Min GATE Score ▲▼"
"1","Round 1","Indian Institute of Information Technology, Kota","Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science","G1","SC","357","346"
"2","Round 1","Indian Institute of Information Technology, Bhopal","M.Tech in Data Science","G1","EWS","493","493"
"3","Round 1","Indian Institute of Information Technology, Vadodara, Gandhinagar Campus","Artificial Intelligence","G1","EWS","495","495"
"4","Round 1","International Institute of Information Technology, Naya Raipur","Electronics and Communication Engineering","G1","SC","290","290"
"5","Round 1","International Institute of Information Technology, Naya Raipur","Computer Science & Engineering","G1","EWS","479","479"
"6","Round 1","University of Hyderabad","Artificial Intelligence","G1","EWS","502","448"
"7","Round 1","University of Hyderabad","Computer Science","G1","OBC-NCL","491","464"
"8","Round 1","Central University of Rajasthan","Computer Science & Engineering","G1","OBC-NCL","448","410"
"9","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Laser and Electro Optics","G1","SC","338","318"
"10","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Electronics and Communication Engineering (Semiconductor Chip Design)","G1","ST","259","259"
"11","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Industrial Systems Engineering","G1","EWS","325","325"
"12","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Nanoscience and Technology","G1","OBC-NCL","376","337"
"13","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Computer Science & Engineering (Artificial Intelligence)","G1","EWS","516","516"
"14","Round 1","Guru Ghasidas Vishwavidyalaya, Bilaspur","Information Technology","G1","OPEN","448","393"
"15","Round 1","Indian Institute of Space Science and Technology, Thiruvananthapuram","Thermal and Propulsion","G1","OPEN-PwD","314","314"
"16","Round 1","National Institute of Technology, Rourkela","Energy and Environmental Engineering","G3","ST","252","252"
"17","Round 1","National Institute of Technology, Rourkela","Electronic Systems & Communication","G1","SC","463","362"
"18","Round 1","National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering","G1","SC","420","351"
"19","Round 1","National Institute of Technology, Rourkela","Mining Engineering","G2","OBC-NCL","404","394"
"20","Round 1","National Institute of Technology, Rourkela","Mining Engineering","G2","EWS","361","361"
"21","Round 1","National Institute of Technology, Rourkela","Power System Engineering","G1","OPEN","464","433"
"22","Round 1","National Institute of Technology, Silchar","Control & Industrial Automation","G1","SC","279","275"
"23","Round 1","National Institute of Technology, Silchar","Geotechnical Engineering","G1","ST","312","281"
"24","Round 1","National Institute of Technology, Silchar","Instrumentation Engineering","G1","ST","237","237"
"25","Round 1","National Institute of Technology, Silchar","Computer Science & Engineering","G1","SC","499","452"
"26","Round 1","National Institute of Technology, Srinagar","Power Electronics & Electrical Drives","G1","SC","288","262"
"27","Round 1","National Institute of Technology, Srinagar","Communication & Signal Processing","G1","OPEN","496","389"
"28","Round 1","National Institute of Technology, Tiruchirappalli","Environmental Engineering","G3","OBC-NCL","343","343"
"29","Round 1","National Institute of Technology, Tiruchirappalli","Industrial Safety Engineering","G2","SC","318","318"
"30","Round 1","National Institute of Technology, Tiruchirappalli","Industrial Automation","G1","OPEN","498","471"
"31","Round 1","National Institute of Technology, Tiruchirappalli","Material Science & Engineering","G1","OPEN","546","445"
"32","Round 1","National Institute of Technology, Tiruchirappalli","Non Destructive Testing","G1","OBC-NCL","397","370"
"33","Round 1","National Institute of Technology, Tiruchirappalli","Non Destructive Testing","G1","EWS","358","348"
"34","Round 1","National Institute of Technology, Tiruchirappalli","VLSI System","G1","OPEN","721","702"
"35","Round 1","National Institute of Technology, Tiruchirappalli","VLSI System","G2","EWS","649","648"
"36","Round 1","National Institute of Technology, Tiruchirappalli","Welding Engineering","G1","SC","394","283"
"37","Round 1","National Institute of Technology Uttarakhand","Signal Processing and Communication System","G1","OBC-NCL","366","346"
"38","Round 1","National Institute of Technology Uttarakhand","Signal Processing and Communication System","G1","EWS","329","329"
"39","Round 1","National Institute of Technology Uttarakhand","Artificial Intelligence and Machine Learning","G1","SC","389","377"
"40","Round 1","National Institute of Technology, Warangal","Electronics and Communication Engineering - Embedded & Machine Learning Systems (EMLS)","G1","SC","434","405"
"41","Round 1","National Institute of Technology, Warangal","Materials and Manufacturing","G1","OBC-NCL","351","348"
"42","Round 1","National Institute of Technology, Warangal","Construction Technology and Management","G1","ST","344","325"
"43","Round 1","National Institute of Technology, Warangal","Environmental Engineering","G1","OBC-NCL","427","401"
"44","Round 1","National Institute of Technology, Warangal","Geoinformatics","G1","SC","356","341"
"45","Round 1","National Institute of Technology, Warangal","Power Electronics & Drives","G1","ST","358","358"
"46","Round 1","National Institute of Technology, Warangal","Geo-technical Engineering","G1","ST","321","309"
"47","Round 1","National Institute of Technology, Warangal","VLSI Systems Design","G1","EWS","659","659"
"48","Round 1","National Institute of Technology, Warangal","Welding Technology and Non Destructive Testing","G1","OBC-NCL","338","318"
"49","Round 1","National Institute of Technology, Warangal","Computer Integrated Manufacturing","G1","EWS","390","380"
"50","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Control and Automation","G1","EWS","345","345"
"51","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Construction Technology and Management","G1","EWS","418","374"
"52","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Urban Planning","G1","ST","264","264"
"53","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science & Engineering","G1","EWS","645","639"
"54","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science & Engineering","G1","OPEN","706","645"
"55","Round 1","Visvesvaraya National Institute of Technology, Nagpur","Biomedical Engineering","G1","SC","389","361"
"56","Round 1","Visvesvaraya National Institute of Technology, Nagpur","Environmental Engineering","G1","ST","283","283"
"57","Round 1","Visvesvaraya National Institute of Technology, Nagpur","Geotechnical Engineering","G1","OBC-NCL","359","352"
"58","Round 1","Visvesvaraya National Institute of Technology, Nagpur","Power & Energy Systems","G1","EWS","366","328"
"59","Round 1","Visvesvaraya National Institute of Technology, Nagpur","Structural Dynamics & Earthquake Engineering","G1","OBC-NCL","397","370"
"60","Round 1","Visvesvaraya National Institute of Technology, Nagpur","Structural Engineering","G1","ST","306","283"
"61","Round 1","National Institute of Technology Andhra Pradesh","Computer Science and Data Analytics","G1","OPEN","614","539"
"62","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Water Resources Engineering and Geoinformatics","G1","OBC-NCL","332","318"
"63","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Machine Learning in Materials Engineering","G1","EWS","305","305"
"64","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Mining and Mineral Engineering","G1","ST","231","231"
"65","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Communication Engineering & Signal Processing","G1","OBC-NCL","423","405"
"66","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Control & Industrial Automation","G1","EWS","326","326"
"67","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Mechatronics","G1","OBC-NCL","360","360"
"68","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Machine Design","G1","SC","266","213"
"69","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Wireless Networks and Computing","G1","OPEN","546","485"
"70","Round 1","Indian Institute of Information Technology, Allahabad","M.Tech (Bioinformatics)","G1","ST","235","235"
"71","Round 1","Indian Institute of Information Technology, Allahabad","M.Tech. ECE with specialization in Microelectronics","G1","SC","389","362"
"72","Round 1","Indian Institute of Information Technology, Allahabad","Dual Degree M.Tech. - Ph.D in IT with specialization in Machine Learning, Robotics and Human Computer Interaction Group","G1","SC","368","368"
"73","Round 1","Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai","Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence","G1","SC","526","380"
"74","Round 1","Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur","Artificial Intelligence and Machine Learning","G1","SC","367","362"
"75","Round 1","Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur","CAD-CAM","G1","OPEN","393","385"
"76","Round 1","Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur","Power & Control","G1","EWS","312","312"
"77","Round 1","Indian Institute of Information Technology Tiruchirappalli","VLSI Systems","G1","OBC-NCL","460","420"
"78","Round 1","Indian Institute of Information Technology, Lucknow","Computer Science","G1","EWS","592","565"
"79","Round 1","Indian Institute of Information Technology, Bhagalpur, Bihar","Artificial Intelligence & Data Science","G1","SC","344","344"
"80","Round 1","Indian Institute of Information Technology, Una","M. Tech. Microelectronics and VLSI Design","G1","SC","299","276"
"81","Round 1","Indian Institute of Information Technology, Bhopal","M.Tech in Cyber Physical System","G1","OPEN","543","473"
"82","Round 1","Indian Institute of Information Technology (IIIT) Surat","Electronics and Communication Engineering (VLSI)","G1","OPEN","491","439"
"83","Round 1","Indian Institute of Information Technology (IIIT) Surat","Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence","G1","OPEN","595","535"
"84","Round 1","National Institute of Electronics and Information Technology, Aurangabad","Embedded System and VLSI Design","G1","EWS","366","330"
"85","Round 1","National Institute of Advanced manufacturing Technology, Hatia, Ranchi","Manufacturing Engineering","G1","OPEN","463","463"
"86","Round 1","International Institute of Information Technology, Naya Raipur","Electronics and Communication Engineering","G1","OBC-NCL","325","320"
"87","Round 1","University of Hyderabad","Artificial Intelligence","G1","SC","360","343"
"88","Round 1","Central Institute of Technology, Kokrajhar","Food Engineering & Technology","G1","OPEN","512","512"
"89","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Quantum Computing","G1","EWS","491","491"
"90","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Electronics and Communication Engineering (VLSI and Embedded System)","G1","OPEN","510","483"
"91","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Electronics and Communication Engineering (VLSI and Embedded System)","G1","SC","366","350"
"92","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Mechanical Engineering (Armament and Combat Vehicles)","G1","EWS","318","318"
"93","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Mechanical Engineering (Marine Engineering)","G1","OPEN","367","355"
"94","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Computer Science & Engineering (Artificial Intelligence)","G1","OPEN","656","542"
"95","Round 1","Guru Ghasidas Vishwavidyalaya, Bilaspur","Computer Science & Engineering","G1","OPEN","485","407"
"96","Round 1","Institute of Infrastructure, Technology, Research And Management, Ahmedabad","Electrical Engineering","G1","SC","252","240"
"97","Round 1","Indian Institute of Space Science and Technology, Thiruvananthapuram","Aerodynamics and Flight Mechanics","G1","EWS","486","445"
"98","Round 1","Indian Institute of Space Science and Technology, Thiruvananthapuram","Structures and Design","G1","OPEN","560","518"
"99","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Data Science","G1","ST","339","338"
"100","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science & Engineering","G1","ST","357","339"
"101","Round 1","Visvesvaraya National Institute of Technology, Nagpur","Environmental Engineering","G1","EWS","332","332"
"102","Round 1","Visvesvaraya National Institute of Technology, Nagpur","VLSI Design","G1","EWS","491","467"
"103","Round 1","National Institute of Technology Andhra Pradesh","Computer Science and Data Analytics","G1","OBC-NCL","498","477"
"104","Round 1","National Institute of Technology Andhra Pradesh","Geo-technical Engineering","G1","OPEN","374","363"
"105","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Advanced Manufacturing Technology","G1","SC","266","236"
"106","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Communication Engineering & Signal Processing","G1","OPEN","518","456"
"107","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Mechatronics","G1","OPEN","433","366"
"108","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Power & Energy Systems","G1","OBC-NCL","342","319"
"109","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Structural Engineering","G1","SC","325","311"
"110","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","IC Design and Technology","G1","EWS","477","477"
"111","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","IC Design and Technology","G1","SC","323","311"
"112","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering","G1","ST","346","313"
"113","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Dual Degree Program M.Tech. (CSE) + Ph.D. in CSE","G1","OPEN","543","523"
"114","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Dual Degree Program M.Tech. (IT) + Ph.D. in IT","G1","OPEN","506","506"
"115","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Information Technology","G1","ST","283","283"
"116","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Wireless Networks and Computing","G1","OBC-NCL","477","448"
"117","Round 1","Indian Institute of Information Technology, Allahabad","M.Tech. IT with specialization in Network and Security Group","G1","ST","347","327"
"118","Round 1","Indian Institute of Information Technology, Allahabad","M.Tech. Biomedical Engineering","G1","OBC-NCL","392","367"
"119","Round 1","Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai","Electronics and Communication Engineering with Specialization in RF and Microwave Engineering","G1","OPEN","397","370"
"120","Round 1","Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai","Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence","G1","OBC-NCL","536","475"
"121","Round 1","Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai","Electronics and Communication Engineering with Specialization in Communication Systems","G1","ST","264","264"
"122","Round 1","Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur","CAD-CAM","G1","OBC-NCL","350","346"
"123","Round 1","Indian Institute of Information Technology , Kalyani","VLSI & Embedded Systems","G2","SC","261","261"
"124","Round 1","Indian Institute of Information Technology, Una","M. Tech. Microelectronics and VLSI Design","G1","OBC-NCL","366","350"
"125","Round 1","Indian Institute of Information Technology, Bhopal","M.Tech in Cyber Physical System","G1","OBC-NCL","473","431"
"126","Round 1","National Institute of Electronics and Information Technology, Aurangabad","Artificial Intelligence","G2","ST","298","273"
"127","Round 1","University of Hyderabad","Artificial Intelligence","G1","OPEN","622","536"
"128","Round 1","University of Hyderabad","Computer Science","G1","EWS","485","446"
"129","Round 1","Punjab Engineering College, Chandigarh","Computer Science & Information Security","G1","EWS","460","460"
"130","Round 1","Punjab Engineering College, Chandigarh","Computer Science & Information Security","G1","SC","360","360"
"131","Round 1","Punjab Engineering College, Chandigarh","Structural Engineering","G1","OPEN","408","351"
"132","Round 1","Punjab Engineering College, Chandigarh","Electronics (VLSI Design)","G1","EWS","373","350"
"133","Round 1","Central Institute of Technology, Kokrajhar","Computer Science & Engineering","G1","EWS","389","389"
"134","Round 1","Central University of Rajasthan","Computer Science & Engineering","G1","EWS","393","393"
"135","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Electronics and Communication Engineering (Signal Processing and AI)","G1","EWS","405","405"
"136","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Electronics and Communication Engineering (Signal Processing and AI)","G1","SC","342","316"
"137","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Cyber Security","G1","ST","264","231"
"138","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Aerospace Engineering (Guided Missiles)","G1","ST","245","245"
"139","Round 1","National Institute of Technology, Rourkela","Industrial Refrigeration and Cryogenic Engineering","G3","SC","269","228"
"140","Round 1","National Institute of Technology, Rourkela","Mechanical Systems Design and Control","G1","OPEN","573","573"
"141","Round 1","National Institute of Technology, Rourkela","Mechanical Systems Design and Control","G3","EWS","473","463"
"142","Round 1","National Institute of Technology, Rourkela","Manufacturing and Automation Engineering","G2","EWS","359","359"
"143","Round 1","National Institute of Technology, Rourkela","Manufacturing and Automation Engineering","G3","OPEN","442","411"
"144","Round 1","National Institute of Technology, Rourkela","Biomedical Engineering","G1","OBC-NCL","434","417"
"145","Round 1","National Institute of Technology, Rourkela","Control & Automation","G1","ST","303","303"
"146","Round 1","National Institute of Technology, Rourkela","Electronic Systems & Communication","G1","OBC-NCL","515","495"
"147","Round 1","National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering","G1","OBC-NCL","531","491"
"148","Round 1","National Institute of Technology, Rourkela","Industrial Design","G2","OPEN","525","525"
"149","Round 1","National Institute of Technology, Rourkela","Mining Engineering","G1","OBC-NCL","471","418"
"150","Round 1","National Institute of Technology, Rourkela","Computer Science","G1","OBC-NCL","706","682"
"151","Round 1","National Institute of Technology, Silchar","Power Electronics and Drives","G1","EWS","358","358"
"152","Round 1","National Institute of Technology, Silchar","Microelectronics & VLSI Design","G1","OBC-NCL-PwD","286","286"
"153","Round 1","National Institute of Technology, Silchar","RF and Terahertz Communications","G1","OPEN","439","414"
"154","Round 1","National Institute of Technology, Silchar","Data Science & Engineering","G1","EWS","552","552"
"155","Round 1","National Institute of Technology, Silchar","Communication & Signal Processing","G1","OBC-NCL","446","402"
"156","Round 1","National Institute of Technology, Silchar","Structural Engineering","G1","OPEN","419","378"
"157","Round 1","National Institute of Technology, Silchar","Thermal Engineering","G1","SC","253","236"
"158","Round 1","National Institute of Technology, Srinagar","Electrical Power and Energy System","G1","OPEN","393","358"
"159","Round 1","National Institute of Technology, Srinagar","Communication & Signal Processing","G1","EWS","380","379"
"160","Round 1","National Institute of Technology, Srinagar","Computer Science & Engineering","G1","OPEN","569","529"
"161","Round 1","National Institute of Technology, Tiruchirappalli","Communication Systems","G1","EWS","588","553"
"162","Round 1","National Institute of Technology, Tiruchirappalli","Environmental Engineering","G2","OBC-NCL","441","428"
"163","Round 1","National Institute of Technology, Tiruchirappalli","Energy Engineering","G1","EWS","407","407"
"164","Round 1","National Institute of Technology, Tiruchirappalli","Energy Engineering","G3","OBC-NCL","513","423"
"165","Round 1","National Institute of Technology, Tiruchirappalli","Industrial Safety Engineering","G1","OPEN","580","480"
"166","Round 1","National Institute of Technology, Tiruchirappalli","Industrial Safety Engineering","G2","ST","257","257"
"167","Round 1","National Institute of Technology, Tiruchirappalli","Industrial Automation","G4","OPEN","511","477"
"168","Round 1","National Institute of Technology, Tiruchirappalli","Thermal Power Engineering","G1","EWS","584","501"
"169","Round 1","National Institute of Technology, Tiruchirappalli","VLSI System","G2","OBC-NCL","705","689"
"170","Round 1","National Institute of Technology, Tiruchirappalli","Computer Science & Engineering","G1","OPEN","892","777"
"171","Round 1","National Institute of Technology Uttarakhand","Power System & Renewable Energy","G1","OPEN","375","366"
"172","Round 1","National Institute of Technology, Warangal","Materials and Manufacturing","G1","EWS","363","363"
"173","Round 1","National Institute of Technology, Warangal","Automobile Engineering","G1","OPEN","528","456"
"174","Round 1","National Institute of Technology, Warangal","Biotechnology","G1","OPEN","663","610"
"175","Round 1","National Institute of Technology, Warangal","Construction Technology and Management","G1","EWS","488","446"
"176","Round 1","National Institute of Technology, Warangal","Machine Design","G1","OPEN-PwD","228","228"
"177","Round 1","National Institute of Technology, Warangal","Power Electronics & Drives","G1","OPEN","669","531"
"178","Round 1","National Institute of Technology, Warangal","Sustainable Energy Generation and Storage Technologies","G1","OBC-NCL","366","356"
"179","Round 1","National Institute of Technology, Warangal","Sustainable Energy Generation and Storage Technologies","G1","ST","253","249"
"180","Round 1","National Institute of Technology, Warangal","Welding Technology and Non Destructive Testing","G1","SC","235","235"
"181","Round 1","National Institute of Technology, Warangal","Computer Science & Engineering","G1","OPEN","856","761"
"182","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Construction Technology and Management","G1","OPEN","637","463"
"183","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Data Science","G1","EWS","622","614"
"184","Round 1","Sardar Vallabhbhai National Institute of Technology, Surat","Structural Engineering","G1","SC","382","328"
"185","Round 1","National Institute of Technology Andhra Pradesh","Computer Science and Data Analytics","G1","ST","291","291"
"186","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","RF and Photonics","G1","OPEN","428","385"
"187","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Environmental Engineering and Management","G1","OPEN","376","352"
"188","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Machine Learning in Materials Engineering","G1","OBC-NCL","323","315"
"189","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Biomedical Engineering","G1","OPEN","749","481"
"190","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Information Technology","G1","EWS","502","486"
"191","Round 1","Indian Institute of Engineering Science and Technology, Shibpur, District Howrah","Urban & Regional Planning","G1","OBC-NCL","480","451"
"192","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Computer Science and Engineering","G1","OPEN","678","596"
"193","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Information and Cyber Security","G1","EWS","514","514"
"194","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Information Technology","G1","SC","397","381"
"195","Round 1","Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior","Wireless Networks and Computing","G1","ST","248","248"
"196","Round 1","Indian Institute of Information Technology, Allahabad","Dual Degree M.Tech.- PhD in Bioinformatics","G1","OBC-NCL","513","513"
"197","Round 1","Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai","Electronics and Communication Engineering with Specialization in RF and Microwave Engineering","G1","ST","252","252"
"198","Round 1","Indian Institute of Information Technology, Design & Manufacturing Kancheepuram, Chennai","Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence","G1","ST","294","294"
"199","Round 1","Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur","Mechatronics","G1","OPEN","486","446"
"200","Round 1","Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacturing Jabalpur","Nanoelectronics and VLSI Design","G1","EWS","416","416"
"201","Round 1","Indian Institute of Information Technology, Lucknow","Computer Science","G1","OPEN","659","605"
"202","Round 1","Indian Institute of Information Technology, Lucknow","Computer Science","G1","ST","334","270"
"203","Round 1","Indian Institute of Information Technology , Kalyani","VLSI & Embedded Systems","G3","OBC-NCL","350","350"
"204","Round 1","Indian Institute of Information Technology, Design and Manufacturing, Kurnool","M.Tech. Drones and IoT","G1","OPEN","483","444"
"205","Round 1","Indian Institute of Information Technology, Design and Manufacturing, Kurnool","VLSI & Embedded Systems","G1","EWS","375","375"
"206","Round 1","Indian Institute of Information Technology, Pune","Computer Science & Engineering","G1","EWS","585","585"
"207","Round 1","Indian Institute of Information Technology, Bhagalpur, Bihar","VLSI & Embedded Systems","G1","OBC-NCL","385","385"
"208","Round 1","Indian Institute of Information Technology, Bhagalpur, Bihar","VLSI & Embedded Systems","G1","OPEN","445","389"
"209","Round 1","Indian Institute of Information Technology, Una","M. Tech. Microelectronics and VLSI Design","G1","ST","256","256"
"210","Round 1","Indian Institute of Information Technology, Kota","Electronics and Communication Engineering with specialization in Semiconductor Technology","G1","SC","311","280"
"211","Round 1","Indian Institute of Information Technology, Bhopal","M.Tech in Artificial Intelligence","G1","SC","436","397"
"212","Round 1","Indian Institute of Information Technology, Bhopal","M.Tech in Data Science","G1","SC","387","346"
"213","Round 1","Indian Institute of Information Technology (IIIT) Surat","Electronics and Communication Engineering (VLSI)","G1","EWS","323","323"
"214","Round 1","Indian Institute of Information Technology (IIIT) Surat","Electronics and Communication Engineering (VLSI)","G2","OPEN","428","409"
"215","Round 1","Indian Institute of Information Technology (IIIT) Surat","Computer Science and Engineering with Specialization in Data Science and Artificial Intelligence","G2","OPEN","532","522"
"216","Round 1","National Institute of Electronics and Information Technology, Aurangabad","Embedded System and VLSI Design","G1","ST","272","260"
"217","Round 1","Sant Longowal Institute of Engineering and Technology","Food Engineering & Technology","G1","OPEN","425","377"
"218","Round 1","Sant Longowal Institute of Engineering and Technology","Computer Science & Engineering","G1","OBC-NCL","412","387"
"219","Round 1","University of Hyderabad","Artificial Intelligence","G1","ST","352","276"
"220","Round 1","University of Hyderabad","Bioinformatics","G1","SC","291","256"
"221","Round 1","International Institute of Information Technology, Bhubaneswar","Computer Science & Engineering","G1","EWS","460","456"
"222","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Electronics and Communication Engineering (Defence and Space Electronics)","G1","OBC-NCL","397","389"
"223","Round 1","Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune","Cyber Security","G1","SC","406","398"
"224","Round 1","National Institute of Technology, Rourkela","Signal & Image Processing","G1","ST","340","340"
"225","Round 1","National Institute of Technology, Rourkela","Structural Engineering","G1","OBC-NCL","470","457"
"226","Round 1","National Institute of Technology, Rourkela","VLSI Design & Embedded Systems","G1","OBC-NCL","649","630"
"227","Round 1","National Institute of Technology, Silchar","Transportation Engineering","G1","ST","328","279"
"228","Round 1","National Institute of Technology, Silchar","Thermal Engineering","G1","OPEN","511","373"
"229","Round 1","National Institute of Technology, Srinagar","Electrical Power and Energy System","G1","SC","271","252"
"230","Round 1","National Institute of Technology, Srinagar","Computer Science & Engineering","G1","SC","389","370"
"231","Round 1","National Institute of Technology, Tiruchirappalli","Chemical Engineering","G1","ST","220","220"
"232","Round 1","National Institute of Technology, Tiruchirappalli","Data Analytics","G1","OBC-NCL-PwD","370","370"
"233","Round 1","National Institute of Technology, Tiruchirappalli","Environmental Engineering","G1","SC","445","408"
"234","Round 1","National Institute of Technology, Tiruchirappalli","Energy Engineering","G2","SC","330","330"
"235","Round 1","National Institute of Technology, Tiruchirappalli","Geotechnical Engineering","G1","OPEN-PwD","302","302"
"236","Round 1","National Institute of Technology, Tiruchirappalli","Industrial Automation","G1","OBC-NCL","454","427"
"237","Round 1","National Institute of Technology, Tiruchirappalli","Material Science & Engineering","G1","OBC-NCL","438","401"
"238","Round 1","National Institute of Technology, Tiruchirappalli","Transportation Engineering & Management","G1","OPEN","614","518"
"239","Round 1","National Institute of Technology, Tiruchirappalli","Computer Science & Engineering","G1","OBC-NCL-PwD","423","423"
"240","Round 1","National Institute of Technology, Tiruchirappalli","Computer Science & Engineering","G1","OPEN-PwD","443","443"
"241","Round 1","National Institute of Technology, Tiruchirappalli","Computer Science & Engineering","G1","SC","675","595"
"242","Round 1","National Institute of Technology Uttarakhand","Power System & Renewable Energy","G1","SC","291","291"
"243","Round 1","National Institute of Technology Uttarakhand","Power System & Renewable Energy","G1","ST","240","240"
"244","Round 1","National Institute of Technology Uttarakhand","Artificial Intelligence and Machine Learning","G1","OPEN","661","555"
"245","Round 1","National Institute of Technology Uttarakhand","Microelectronics & VLSI Design","G1","OPEN","467","452"
"246","Round 1","National Institute of Technology Uttarakhand","Microelectronics & VLSI Design","G1","SC","315","311"
"247","Round 1","National Institute of Technology, Warangal","Automobile Engineering","G1","SC","351","318"
"248","Round 1","National Institute of Technology, Warangal","Chemical Engineering","G1","OBC-NCL","409","375"
"249","Round 1","National Institute of Technology, Warangal","Construction Technology and Management","G1","SC","464","382"
"250","Round 1","National Institute of Technology, Warangal","Power Electronics & Drives","G1","SC","437","397"
"251","Round 1","National Institute of Technology, Warangal","Power Systems Engineering","G1","OBC-NCL","468","448"
